unique_id,height_m,weight_kg,is_legendary,type_grass,type_steel,type_rock,type_fighting,type_flying,type_normal,type_electric,type_psychic,type_fire,type_ghost,type_dragon,type_ice,type_water,type_ground,type_dark,type_poison,type_bug,type_fairy,abil_Reckless,abil_No_Guard,abil_Sturdy,abil_Water_Bubble,abil_Cursed_Body,abil_Rough_Skin,abil_Defeatist,abil_Water_Veil,abil_Wonder_Skin,abil_Fairy_Aura,abil_Toxic_Boost,abil_Sand_Rush,abil_Compoundeyes,abil_Battle_Armor,abil_Defiant,abil_Sand_Stream,abil_Tangled_Feet,abil_Magic_Guard,abil_Shadow_Tag,abil_Shield_Dust,abil_Sweet_Veil,abil_Simple,abil_Regenerator,abil_Super_Luck,abil_Receiver,abil_Innards_Out,abil_Shell_Armor,abil_Immunity,abil_Adaptability,abil_Protean,abil_Swift_Swim,abil_Intimidate,abil_Suction_Cups,abil_Tough_Claws,abil_Rain_Dish,abil_Pickpocket,abil_Motor_Drive,abil_Huge_Power,abil_Filter,abil_Scrappy,abil_Aroma_Veil,abil_Weak_Armor,abil_Blaze,abil_Mega_Launcher,abil_Friend_Guard,abil_Static,abil_Insomnia,abil_Grass_Pelt,abil_Limber,abil_Effect_Spore,abil_Torrent,abil_Berserk,abil_Sand_Veil,abil_Quick_Feet,abil_Pressure,abil_Electric_Surge,abil_Sand_Force,abil_Skill_Link,abil_Flame_Body,abil_Chlorophyll,abil_Run_Away,abil_Schooling,abil_Slush_Rush,abil_Liquid_Ooze,abil_Stance_Change,abil_Color_Change,abil_Swarm,abil_Keen_Eye,abil_Magic_Bounce,abil_Flash_Fire,abil_Overgrow,abil_Moody,abil_Truant,abil_Inner_Focus,abil_Download,abil_Prankster,abil_Beast_Boost,abil_Unnerve,abil_White_Smoke,abil_Gale_Wings,abil_Tangling_Hair,abil_Normalize,abil_Fluffy,abil_Air_Lock,abil_Battery,abil_Illuminate,abil_Power_of_Alchemy,abil_Liquid_Voice,abil_Sap_Sipper,abil_Imposter,abil_Solar_Power,abil_Pure_Power,abil_Water_Absorb,abil_Ice_Body,abil_Sniper,abil_Snow_Cloak,abil_Early_Bird,abil_Steadfast,abil_Cute_Charm,abil_Multiscale,abil_Thick_Fat,abil_Sticky_Hold,abil_Poison_Touch,abil_Steelworker,abil_Overcoat,abil_Competitive,abil_Pixilate,abil_Slow_Start,abil_Magnet_Pull,abil_Triage,abil_Rattled,abil_Storm_Drain,abil_Guts,abil_Levitate,abil_Arena_Trap,abil_Shadow_Shield,abil_Unburden,abil_Victory_Star,abil_Comatose,abil_Big_Pecks,abil_Sheer_Force,abil_Contrary,abil_Infiltrator,abil_Turboblaze,abil_Anger_Point,abil_Leaf_Guard,abil_Harvest,abil_Tinted_Lens,abil_Minus,abil_Clear_Body,abil_Stamina,abil_Corrosion,abil_Light_Metal,abil_Iron_Barbs,abil_Rock_Head,abil_Solid_Rock,abil_Stall,abil_Soundproof,abil_Cloud_Nine,abil_Heatproof,abil_Mummy,abil_Unaware,abil_Disguise,abil_Volt_Absorb,abil_Shields_Down,abil_Forecast,abil_Gooey,abil_Stench,abil_Trace,abil_Surge_Surfer,abil_Telepathy,abil_Magma_Armor,abil_Healer,abil_Galvanize,abil_Natural_Cure,abil_Poison_Heal,abil_Frisk,abil_Hustle,abil_Full_Metal_Body,abil_Wimp_Out,abil_Hydration,abil_Power_Construct,abil_Grassy_Surge,abil_Iron_Fist,abil_Plus,abil_Hyper_Cutter,abil_Bulletproof,abil_Dark_Aura,abil_Soul-Heart,abil_Moxie,abil_Flower_Veil,abil_Teravolt,abil_Symbiosis,abil_Own_Tempo,abil_Cheek_Pouch,abil_Wonder_Guard,abil_Serene_Grace,abil_Marvel_Scale,abil_Snow_Warning,abil_Illusion,abil_Technician,abil_Vital_Spirit,abil_Aftermath,abil_Queenly_Majesty,abil_Misty_Surge,abil_Aura_Break,abil_Lightningrod,abil_Fur_Coat,abil_Bad_Dreams,abil_Dancer,abil_Justified,abil_Refrigerate,abil_Klutz,abil_Shed_Skin,abil_Stakeout,abil_Synchronize,abil_Magician,abil_Dry_Skin,abil_Multitype,abil_Flare_Boost,abil_Zen_Mode,abil_RKS_System,abil_Honey_Gather,abil_Pickup,abil_Drought,abil_Mold_Breaker,abil_Heavy_Metal,abil_Analytic,abil_Flower_Gift,abil_Emergency_Exit,abil_Rivalry,abil_Damp,abil_Poison_Point,abil_Anticipation,abil_Battle_Bond,abil_Merciless,abil_Dazzling,abil_Speed_Boost,abil_Water_Compaction,abil_Strong_Jaw,abil_Prism_Armor,abil_Forewarn,abil_Long_Reach,abil_Oblivious,abil_Gluttony,abil_Drizzle,abil_Psychic_Surge,stat_1,stat_2,stat_3,stat_4,stat_5,stat_6
665,0.6,12.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,80.0,55.0,25.0,35.0,35.0
288,0.6,29.7,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,65.0,45.0,45.0,45.0
349,1.2,22.2,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,64.0,60.0,111.0,60.0,117.0
260,0.4,6.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,95.0,40.0,50.0,35.0
536,0.6,9.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65.0,64.0,44.0,48.0,43.0
293,3.2,330.0,1.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,120.0,100.0,150.0,120.0,90.0
181,1.1,15.3,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,70.0,50.0,50.0,50.0,70.0
554,1.3,60.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,87.0,75.0,85.0,76.0
507,0.5,10.5,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,82.0,95.0,55.0,75.0,36.0
140,1.2,55.5,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.0,53.0,47.0,127.0,131.0,103.0
